,segment,sentiment,isSentence
12592,"The Challenge is open to anyone, be it individually or as part of any organization, and procedures are kept as simple as possible, as to permit access even for people with relatively low levels of formal schooling.",positive,True
12593,This will lead to improved management of the BIG area and reduction of negative impacts.,positive,True
12594,Results obtained under Component 1 were considered to be satisfactory.,positive,True
12595,Conclusion 3.,positive,True
12596,Through adaptive management the project was able to adapt itself after the setback of the Bocaina Mosaic to develop and pursue an alternative strategy.,positive,True
12597,Conclusion 7.,positive,True
12598,The project created a good basis for the achievement of the general objective.,positive,True
12599,"The contributions and added value of GASL rest in its partnership building and knowledge sharing effects, which have been clearly appreciated by its members.",positive,True
12600,"Reaching a common approach and definition of sustainable livestock will require time and concerted efforts, and GASL, with its broad membership, is well positioned to contribute to this goal.",positive,True
12601,"The Project is clearly aligned and contributing to the strategic priories of FAO and members of the Global Agenda for Sustainable Livestock, as well as several SDGs.",positive,True
12602,It is addressing a gap in the global discourse on livestock sustainability which was not being addressed by other stakeholders.,positive,True
12603,"For example, 111 communities participated in the generation of the management and co-management plans based on zoning in five micro watersheds and that included a participatory prioritization of pilot sub-projects through mutual agreement between the GADPCH and the communities.",positive,True
12604,"The selection of the final participants was performed in coordination with the GADPCH and another operational project in the area of intervention (PIDD project) to avoid the overlapping of beneficiaries in the pilot projects identified and ensure that the beneficiaries selected agreed to co-fund their implementation (by means of the rendering of manual labour, the delivery of local materials, etc.)",positive,True
12605,"Without doubt, this situation facilitated a high level of training of female leaders in the vast majority of communities involved.",positive,True
12606,"In addition, it was found that there was substantial participation by female professionals in the OPIM and at various levels of the DAGs.",positive,True
12607,"At national and subnational level it was coherent with the National Biodiversity Strategy and the Strategic Plan of the National System of Protected Areas of Ecuador and, at provincial level, with the LUDP and GADPCH.",positive,True
12608,"In terms of the beneficiary communities, there was a high level of project acceptance as it responded to their needs, including their adaptation to the effects of climate change, particularly a marked reduction of water in the water basins in recent years.",positive,True
12609,The evaluation was satisfied that the Project had integrated a gender focus.,positive,True
12610,"For example, the women interviewed stated that they played an important role in the Project - taking into consideration that the majority are the heads of their families due to the high migration of men in the area of intervention.",positive,True
12611,"More than 200 000 trees were planted, awareness generated in the communities, and some capacity developed in communities and governmental institutions for conservation development actions.",positive,True
12612,"Importantly, the project supported the development of synergies and collaboration between stakeholders from the two countries.",positive,True
12613,"This gain became a lesson learned for future projects showing that trans-frontier collaboration must be promoted at all levels, including the highest level, in each country.",positive,True
12614,Stakeholders should share a vision and work in synergy towards a common goal.,positive,True
12615,"SBP also supported WUAs to provide services to their members such as input supply, marketing and processing farmer produce.",positive,True
12616,Sustainability of WUAs will depend on the services they can deliver to their members and the willingness of farmers to pay for these services.,positive,True
12617,This will also be a factor in the sustainability of results.,positive,True
12618,WUA helped increase institutional and individual capacities.,positive,True
12619,Women were integrated into governance structures and decision-making processes.,positive,True
12620,Animal disease control and climate change effects were priorities tackled under the 2011-2016 Country Programming Framework (CPF) while a bigger scope of priorities was aligned to the successor 2016-2020 CPF.,positive,True
12621,"These included: i) strengthening policy and institutional framework, enhancing agriculture productivity and competitiveness; ii) focusing on enhancing livelihoods, food and nutrition security, promoting integration of smallholder farmers into markets; and iii) increasing community resilience in partnership with the public and private sectors, non-governmental organizations (NGOs) and community-based organizations.",positive,True
12622,They were sensitized to appreciate farming as a business also trained in livestock business investments.,positive,True
12623,The Project targeted improving group dynamics including skills in group leadership which has occasioned cohesion and improved group dynamics.,positive,True
12624,These and the previously mentioned achievements have collectively contributed to improved livestock production and productivity as per project objectives.,positive,True
12625,"As a result, cattle owners reported an improved return on investment, mainly associated with improved sales linked to improved live animal slaughter weight and carcass quality.",positive,True
12626,"At ward level, the Livestock Development Association and User Committees (e.g. water subcommittees and dip-tank management committees) mobilized communities and rendered the leadership role.",positive,True
12627,"At the district level, the Livestock Development Associations and Inter-district Project Committees provided technical and managerial advice, while the process was steered by the Project Implementation Committee at provincial level and the Project Steering Committee at national level.",positive,True
12628,The Project was in line with the priorities in the CPF.,positive,True
12629,"Through this project, FAO supported the establishment of an enabling policy environment in livestock, an area which is most strategically suitable to undertake in Zimbabwe.",positive,True
12630,Its design was the subject of a thorough diagnosis and involved the key actors of mangrove management in Cameroon.,positive,True
12631,"In addition, the project provides solutions for community-based management of mangrove ecosystems.",positive,True
12632,"Indeed, this issue of community-based management of mangrove ecosystems was not taken into account in community forest management norms in Cameroon before the implementation of this project.",positive,True
12633,The project also transferred knowledge and skills to the different actors involved in the economic sectors of the different intervention zones through several studies and training.,positive,True
12634,"In addition, the project filled an important gap in the Manual of Procedures for the Attribution and Norms for the Management of Community Forests by taking into account the specific management of mangroves at community level.",positive,True
12635,It is in this perspective that the project facilitated the establishment of the first community mangrove forest in Cameroon.,positive,True
12636,This community forest is a good example of an area dedicated to community-based management of mangrove resources.,positive,True
12637,Health status and health practices have improved as well.,positive,True
12638,Interesting effects concerned behaviour changes likely to improve the capacity of the population to reduce maternal and child malnutrition.,positive,True
12639,"To support the competencies of veterinary services in implementing standards, OIE has developed the Performance of Veterinary Services (PVS) Pathway, a voluntary programme for the evaluation of veterinary services.",positive,True
12640,FAO and OIE need to work together to control and prevent TADs using the GF-TADs platform.,positive,True
12641,"In Priority Area B (Outcome: improved multi-sector participation, coordination and value chain development in food and nutrition security programme), FAO implemented two full TCPs to address constraints surrounding the production of two staple commodities.",positive,True
12642,"Also, FAO formulated a Unilateral Trust Fund project (funded by the World Bank) to improve productivity and support the commercialization of selected commodities.",positive,True
12643,FAO interventions were institutionalized with a high degree of ownership by the Government at central and district levels.,positive,True
12644,"Studies and the results of the field research were reflected in policy formulation, institutional building and capacity development activities.",positive,True
12645,"AO technical assistance utilized the knowledge at headquarters and Regional Office for Asia and the Pacific (RAP) in designing the localized interventions on food security, food safety, information, resilience and climate change.",positive,True
12646,"Studies to understand specific local needs and capacity gaps (e.g. impact study on agricultural infrastructure, rice productivity and value chain analysis) were undertaken, as a part of a project or a single project assisting another technical assistance, in translating the global knowledge into national projects.",positive,True
12647,AO activities were implemented through a steering committee at national level and sectors following the agreed annual workplan at the dzongkhag and gewog levels.,positive,True
12648,Efficient government and close communication with the Policy and Planning Division of the Ministry of Agriculture and Forests helped ensure smooth programme implementation.,positive,True
12649,"The design of CASU was consistent with the Government of the Republic of Zambia policies and plans, and with the strategies of the Ministry of Agriculture for promotion of CA and climate- sensitive agriculture.",positive,True
12650,"By nature, it is aiming for environmentally-sustainable production (though the agro-forestry elements were weak and there are potentially some risks with herbicide use).",positive,True
12651,The application of quotas for women in the recruitment of LFs and FFs was an important element for increasing involvement of women.,positive,True
12652,In the province of Chimborazo the LUDP assigns government funds to promote agrobiodiversity.,positive,True
12653,"It also facilitated the drafting of the law on agrobiodiversity and seeds, which was passed and registered in June 2017.",positive,True
12654,"Equally, it ties in with the GEF's priorities (in particular BD2 and BD4) and FAO's strategic objectives (in particular OE2).",positive,True
12655,"It also aims to contribute to the fulfilment of relevant international agreements such as the Aichi Targets of the Convention on Biological Diversity (particularly Targets 7, 13 and 18) and make progress with the application of the International Treaty on Plant Genetic Resources for Food and Agriculture (ITPGRFA).",positive,True
12656,"On the other hand, component 2 directly supports small-scale farmers and their grassroots and second level organisations in progressing the conservation and sustainable use of agrobiodiversity under participatory and inclusive concepts that include indigenous communities and rural women.",positive,True
12657,"It was found that during the identification and design of the project, the INIAP and the Heifer Foundation consulted with a wide range of stakeholder representatives beforehand.",positive,True
12658,The entry into 19 partnership agreements to support the transfer of technology and develop the marketing of agrobiodiversity products in local markets and fairs was very successful in promoting active participation by small- scale farmers.,positive,True
12659,"In particular, the project made it possible to exceed the planned number of participating farmers (4,509 instead of 3,800 people).",positive,True
12660,"The employment of three coordinators for each intervention area (north, central and south) and six promoters, four of which are bilingual indigenous people, facilitated the inclusive participation of Kichwa-speaking men and women in the activities and training of the project in the three intervention areas and contributed towards providing greater recognition of the promoters as holders of ancestral knowledge.",positive,True
12661,The benefits of this approach included gathering 494 accessions and the local monitoring of the field activities with the beneficiaries.,positive,True
12662,"A study of agroecological fairs in La Esperanza and Saraguro concluded that they have contributed towards increasing sellers' annual incomes by 17.3 percent from 2015 to 2016, approximately 90 percent of whom are women.",positive,True
12663,"However, the evaluation found that their participation in these fairs has made it possible not only to generate financial income for the first time but also increase their self-esteem and power to purchase food, medicine, schoolbooks, etc.",positive,True
12664,"With regard to the workload, it is observed that the implementation of agriculturally diverse plots and the preparation of organic supplies around the farm saves women financial resources and time, although it was not possible to identify more specific data on the matter.",positive,True
12665,"In particular, it has been found that giving greater recognition to local crops encourages male and female peasant farmers to reduce their dependence on seeds from hybrid crops that have to be bought in technological packages because the seed cannot be reproduced.",positive,True
12666,"Consequently, the promotion of agrobiodiversity by means of the project has had a positive effect on family farmers' food sovereignty and food security.",positive,True
12667,"Thus, a general overview of the technical execution of the initiative is kept up-to-date.",positive,True
12668,"Therefore, although the team is creating a monitoring and evaluation system, the project was not fully operational at the time of evaluation.",positive,True
12669,"Therefore, implementation featured the creation of joint management plans.",positive,True
12670,"Due to this, it managed to be inclusive and focused on the acceptance of all the parties involved.",positive,True
12671,"However, it was found that the project managed to promote the participation and leadership of women in most of the initiative activities.",positive,True
12672,They were summoned and participated in 40% (a total of 793) activities in the project.,positive,True
12673,"Four new political, institutional and environmental risks were identified, which must be taken into account given that they could affect project sustainability.",positive,True
12674,They are: a.,positive,True
12675,"Among other initiatives, it includes a system of monetary incentives for local governments that have oil-related investments, which could prompt the expansion of the oil industry in the south-east Napo Province; d. Large Agriculture and Livestock Cooperative programme: A public policy designed to promote agriculture and livestock development in Ecuador.",positive,True
12676,"One of the measures established is the subsidised delivery of a million kits containing supplies, seeds, fertilisers and fungicides to small- scale farmers.",positive,True
12677,These positive features have provided a strong capacity to respond to drawbacks such as the initial delays in implementation and delays in the provision of the co-financing.,positive,True
12678,"When faced with these events, the team in general and its leaders in particular designed and implemented strategies to successfully solve them.",positive,True
12679,The process began with the identification of the Kichwa people as an affected indigenous group and a project target and the establishment of dialogue with community and indigenous organisations and leaders.,positive,True
12680,"This made it possible to discern their specific needs, unique worldviews, cultural and production practices and ways of organisation, making the design and subsequent execution of the project consistent.",positive,True
12681,"It has established partnerships with a diverse number of stakeholders, both formally or ad hoc.",positive,True
12682,FAO implements activities primarily through government entities and non-governmental organizations (NGOs) in the areas of food security and agriculture production (with a focus on conservation agriculture).,positive,True
12683,"Other partnership areas include livestock production and animal disease control, plant disease control and surveillance, research and resilience activities.",positive,True
12684,O has a strong comparative advantage in areas within its mandate.,positive,True
12685,"Stakeholders attribute this to its technical expertise, ability to tap into a vast network of specialists and a comprehensive knowledge products base.",positive,True
12686,"The exceptions are the relatively large Nutrition Project and ECTAD, in the case of which project identification and formulation, as well as resource mobilization for implementation, related to the pre- revolution period.",positive,True
12687,Satisfactory results were achieved under the two projects on food loss and waste and value chains.,positive,True
12688,"A noted result was achieved by the project on date cultivation in Siwa Oasis, which has declared the production system in the Oasis as a Globally Important Agricultural Heritage System and will effectively support the small-scale family farming.",positive,True
12689,Data has been collected by Gallup in some 145 countries during three consecutive years.,positive,True
12690,"In July 2017, the United Nations General Assembly endorsed the global SDG indicator framework, including FIES as indicator 2.1.2 to monitor SDG2 – End Hunger, achieve food security and improved nutrition and promote sustainable agriculture.",positive,True
12691,"In September 2017, the Gallup FIES data were published in the State of Food Security in the World (SOFI) for 58 countries who validated them.",positive,True
12692,"Twenty-three countries have requested further support from FAO to include FIES in their national survey, and this demand is growing.",positive,True
12693,"In addition, some development partners such as GAFSP, Feed the Future and GIZ are already using FIES to monitor the impact of their projects.",positive,True
12694,"As such, it adds value to the existent set of indicators meant to measure different components of food security.",positive,True
12695,The FIES methodology was tested and validated across different countries and languages.,positive,True
12696,Similar perception-based indicators such as EBIA and ELCSA also attest for the validity of this type of scale.,positive,True
12697,Widespread and cross sector involvement contributed to increase the effectiveness of the project.,positive,True
12698,"Ministries at the national level, namely the Environmental Department and Agricultural Department, the municipal representations (communal agriculture offices), the National Coordination of Food Security (CNSA) and the National Seed Service implemented activities.",positive,True
12699,"Through trainings, field notes and brochures communicating best practices, populations are better equipped to respond to drought, a proxy indicator of resilience.",positive,True
12700,"Surveys of beneficiaries reveal a majority have adopted promoted practices, and field level data suggest that approximately 75 percent among FFS members and 30 percent among non-FFS participants continue to use the new practices.",positive,True
12701,Awareness raising efforts also focused on the role of women who were targeted by the project.,positive,True
12702,Interviews conducted during the evaluation also suggest that irrigated agricultural production techniques in particular increased the commercial and economic opportunities for women.,positive,True
12703,Response and practices adapted to the Haitian climate were promoted through the trainings related to this project.,positive,True
12704,This knowledge should be propelled forward to achieve a larger scale uptake and also increase chances of sustainability.,positive,True
12705,Its focus on functional capacities are highly relevant to the needs and priorities of targeted AIS.,positive,True
12706,The project is aligned with effective development cooperation and good capacity development practices and it is seen as an attempt to fill capacity development gaps that are not usually addressed by other actors.,positive,True
12707,"The project is also coherent with FAO priorities and strategies (including the decision to host the TAP Secretariat), and is considered a crucial contribution to increasing the impact of FAO country portfolios.",positive,True
12708,"It is also well aligned and coherent with the main European Union strategies but the involvement of the European Union services during the implementation has been limited, including at country level.",positive,True
12709,"It has contributed to build capacities at both individual and organizational level creating the potential for change by helping niche partnerships prioritize challenges and develop detailed action plans to address them, where capacity development interventions can make a significant difference.",positive,True
12710,TAPipedia has been launched as a capacity development portal in support of the Common Framework and TAP.,positive,True
12711,"In some countries, the selection of niches was nevertheless influenced by political considerations and was not fully transparent or inclusive.",positive,True
12712,Several countries have chosen to work with more than the two or three recommended niche partnerships with possible detrimental results through dilution of support given to each one.,positive,True
12713,"Despite the project not implicitly targeting marginalized groups in its design, both indigenous and marginalized groups have benefited from the activities and will do so in the future, as members of the selected niches and through the implementation of the niche action plans.",positive,True
12714,"In particular, the project addressed their working conditions to some extent.",positive,True
12715,The operationalization of the CCA approach was carried out in a participatory and cross-sectoral manner.,positive,True
12716,It resulted in the list of good agricultural practices mentioned above.,positive,True
12717,"The project team has also been involved in multiple public and private development programmes and projects, which testifies to the quality of their services and ensures certain continuity of capacity in the post-project facilitation of FFS and CCA.",positive,True
12718,The project has been implemented over the period 2011-2016 according to the pre-established logical framework and it produced the expected results with regard to the development and integration of climate change adaption policies and agricultural programmes.,positive,True
12719,"Today, CCA is an integral part of all programmes and projects in the agricultural sector.2",positive,True
12720,"Moreover, the FFS approach was adopted by several programmes and projects in the field without a true prior consultation at national level (for example, ICRISAT, World Vision, PASSIP).",positive,True
12721,"In fact, the diffusion of the approach was carried out in these cases by the intermediary for FFS facilitators at field level.",positive,True
12722,"Regional networks of facilitators, who were supported by the project, played an important role in consolidation.",positive,True
12723,"This includes FAO interventions in policy support, nutrition, rice and oil seed, integrated pest management and food safety.",positive,True
12724,Emergency and relief interventions clearly responded to government priorities.,positive,True
12725,"As a global Organization with a long history of delivering technical cooperation programmes in Myanmar, FAO has considerable credibility with the government.",positive,True
12726,FAO is also viewed as a technical agency that provides valuable agricultural information as well as technical and policy guidance.,positive,True
12727,"Through ECTAD, FAO achieved transformative results in animal transboundary disease control and prevention.",positive,True
12728,"The programme continuously built upon its successes to evolve from an emergency response to a resilience programme, with capacity development support in three dimensions: community level, institutions and enabling environment.",positive,True
12729,"In Fiji, the project completed awareness and training programmes on sustainable forest and land management to improve the knowledge and understanding of the local communities, farmers (including youth and women) and extension officers about the benefits of SFM and SLM.",positive,True
12730,"In Samoa, the project supported the publication of the State of Sustainable Land Management, a comprehensive review of policies.",positive,True
12731,"The project has strongly focused on local communities and customary land-owners, as is appropriate for the Pacific region.",positive,True
12732,The project established very good and effective working relations with the beneficiary communities.,positive,True
12733,"In all the target countries, the project teams made concerted efforts to ensure that they consulted with and informed the communities and customary land owners before beginning any work, to ensure they fully understood the background to project ideas and were allowed to reach consensus and make decisions according to their customary systems of decision-making.",positive,True
12734,"The overall focus of the project remained relevant for the duration of the project, with some minor adjustment at national level to planned activities.",positive,True
12735,"This conclusion speaks to the overall robustness of the original design of the project given that the region (and the project) has experienced numerous severe weather events (see Appendix 12), other natural disasters, political changes (particularly in Fiji) and the fact that a long period of time elapsed between development of the original idea for the project (2007) and its final approval (2011).",positive,True
12736,"In achieving its global environment objective and project development objective, the project supported the publication of a wide range of important baseline and other documents and created a comprehensive online archive (146 articles in total listed in Appendix 6).",positive,True
12737,These will form an important legacy of the project if they are archived securely and made available to the public.,positive,True
12738,"FAO was acknowledged for its role in facilitating and coordinating multi-sectoral initiatives, its inputs and technical contributions to policy processes, and the demonstrated expertise in project formulation, management and implementation.",positive,True
12739,"The partnerships covered strategy and policy, knowledge and advocacy, technical assistance, capacity development and field-level implementation of interventions.",positive,True
12740,"FAO interventions succeeded where there was strong government commitment, competent technical oversight, sustained resource availability and support to institutional capacity development.",positive,True
12741,"FAO made a distinctive contribution to food and nutrition security and food safety, in which sequenced projects provided holistic and long-term support.",positive,True
12742,Another important role of FAO was in conveying important information and advocacy.,positive,True
12743,"The Organization established its reputation as an honest broker in some critical areas, including nutrition, food safety and climate-smart agriculture.",positive,True
12744,"Large donors continued providing resources for new projects, as FAO had lived up to its reputation as a technical agency in delivering quality programmes.",positive,True
12745,"In some areas (e.g. nutrition, food safety, climate-smart agriculture), FAO paved the way for policy dialogu",positive,True
12746,"It contributed to FAO SO4 by improving the quality and availability of updated information and analysis, enabling government and national stakeholders to design and implement efficient and inclusive market strategies (e.g. harmonization, private stock estimation).",positive,True
12747,"The project also contributed to the Global AMIS third pillar by strengthening country capacities, which will improve forecasting in the future.",positive,True
12748,"Through the support provided by the grant, the supply of timely and relevant market information has increased.",positive,True
12749,"It took time and effort, but activities financed through the DGF also helped in encouraging stakeholders to increasingly participate and contribute to AMIS.",positive,True
12750,There is overall satisfaction over the convening role the Secretariat played.,positive,True
12751,There is also an overall stakeholder perception that AMIS is a good example of a multilateral initiative producing concrete results for a reasonable cost.,positive,True
12752,"There was evidence of strengthening the institutional coordination, standards and regulation setting mechanisms; technical capacities in analysis, surveillance and inspection; consumer awareness; and grassroots adoption of good practices resulting in food safety.",positive,True
12753,"These results are attributable to FAO interventions, which benefitted from the contribution of implementing partners.",positive,True
12754,"This included preliminary analyses, vulnerability assessments and field trials to identify appropriate actions and target groups in both, strategic action plans and immediate action projects.",positive,True
12755,"As a result, all projects were found to be aligned with both the provisions of the Treaty and other international agreements and conventions including Millennium Development Goals, Convention of Biological Diversity and United Nations Framework Convention on Climate Change.",positive,True
12756,"However, the evaluation did identify cases where funded projects are helping to forge new alliances between farmers, NGOs and breeders in the interests of reducing dependency on traditional actors in PGRFA (namely public institutions that have diminishing resources).",positive,True
12757,Immediate action projects have experienced difficulties in securing adequate funds since project closure.,positive,True
12758,"However, few of these interventions were designed to address longer term climate change adaptation in an innovative way.",positive,True
12759,"Give the financial limitations of the Organization, they also had limited geographic reach, only a small subset of communitylevel projects used information on climate projections and evidence of adaptation or mitigation success, and showed upscaling prospects and influence on policy.",positive,True
12760,The agency has also moved emergency and DRR measures further in the direction of long-term adaptation in these and other countries through the coordination of and influence on coordination clusters that are typically set up in emergency responses.,positive,True
12761,"In Africa, FAO has provided guidance for mainstreaming CCAM into programmes at the regional and subregional levels.",positive,True
12762,"In the Haiyan response, mainstreaming adaptation was difficult due to the sudden onset of the disaster, short-term nature of the projects, and lack of clarity on how the resilience concept was to be applied at field level, but was achieved to a notable degree.",positive,True
12763,FAO has largely pursued adaptation and mitigation separately from one another in its range of CCAM interventions.,positive,True
12764,"Member countries, while being interested in how mitigation and adaptation can benefit each other, have done the same and placed greater priority on adaptation.",positive,True
12765,Increased availability of and access to water for crop farming has made it possible for beneficiary communities to more easily adopt climate smart crop cultivation.,positive,True
12766,"As a result, not only has production increased, but small-scale irrigation systems have also been adopted and extensive cultivation of different types of crops undertaken year-round in places where this was previously considered untenable.",positive,True
12767,The resulting access to loans from the VSLAs was a major contributing factor to increased production and productivity levels during the project period.,positive,True
12768,"Likewise, the project led to an increase in the land area covered by tree vegetation, which has a positive impact on the micro-climate in those areas with bio-energy plantations; moreover, beneficiaries have acquired the skills to establish and manage tree nurseries and tree planting as private business enterprises.",positive,True
12769,"Afterward, women have progressively become more committed than men to attend FFS and implement the practices learned.",positive,True
12770,"Positive gender results were observed particularly in relation to the coffee production activities, where men and women are now sharing planning and working tasks more equitably, both in the field and within their families.",positive,True
12771,Positive results have started to emerge and the most progress was made in relation to coffee plantations.,positive,True
12772,The needs and concerns of vulnerable groups like youth and children were addressed by the project indirectly.,positive,True
12773,"Moreover, research on the drivers of FNS in context was an innovative programme design element of FSPS-CB, which contributed to context-sensitive and improved design of stakeholder interventions.",positive,True
12774,There was a clear indication that the FNS strategy development research could have produced excellent policy and strategy results had it been started earlier.,positive,True
12775,The task forces and researchers expressed optimism that these efforts will be beneficial to improving FNS outcomes in the coming years.,positive,True
12776,Continuous support from all levels of MEW to the programme was also an important contributing factor to effective results.,positive,True
12777,Coordination and decision-making arrangements among partners were adequate.,positive,True
12778,The new structures also reduced the amount of time and resources that farmers needed to allocate for rebuilding and maintaining their irrigation canals.,positive,True
12779,"The projects trained farmers and Mirabs in more efficient water management, operations and maintenance.",positive,True
12780,The programme helped building the capacity of MEW to take over responsibility for all activities in canal rehabilitation projects.,positive,True
12781,"All four project components, and particularly component 4, contributed to significantly strengthening technical and managerial capacity in participating institutions.",positive,True
12782,"A notable achievement was the introduction of the Ecosystems Approach to Fisheries Management (EAFM) to national and local stakeholders, which resulted in a new generation of EAFM-trained local fisheries officers in the region.",positive,True
12783,"The project generated valuable lessons and experiences from the pilot sites, particularly the Samar Sea site which has become a model for trawl fisheries management, EAFM and public-private partnerships.",positive,True
12784,"While some replication was taking place in targeted countries by the end of the project, sharing the project results more widely among the countries and in the region would increase the potential for replication.",positive,True
12785,Members of the Food Security Cluster (approximately 90-100) depended on the seasonal assessments for their emergency response.,positive,True
12786,The data was also used for monitoring and validation of targeting.,positive,True
12787,"The livelihood baseline reports were used for programming, food security analysis and early warning response.",positive,True
12788,"Given the current funding gap and the fact that the assessments should ultimately be manageable by Somali government institutions, the evaluation found that the rezoning was a correct decision.",positive,True
12789,"Taken together, these activities will help to upgrade the veterinary health delivery system in KSA so that it complies with international standards set by the World Organisation for Animal Health (OIE) and FAO.",positive,True
12790,"Likewise, the environmental rehabilitation projects made significant progress.",positive,True
12791,The project focused on technical skills necessary for primary production.,positive,True
12792,This approach has its merits in view of the well-documented production challenges facing smallholder farmers in South Africa.,positive,True
12793,"FAO successfully applied its core competency as a facilitator, bringing government and academic parties together to broker the establishment of the Institute for Development Assistance Management (IDAM).",positive,True
12794,The institute has since become a flagship initiative.,positive,True
12795,"The capacity of taskforce group members was enhanced in terms of (i) making quality comments on FSN Strategy and Planning and Implementation Manual, and holding discussions more focused on specific problems; and (ii) preparing logframes for FSN.",positive,True
12796,"The capacity of the M&E system was improved for collecting FSN data, managing the database, as guided by the result frame, and analysing policy gaps at the ministry.",positive,True
12797,Extension workers are now better equipped and have better knowledge and skills with which to address the FSN issues of farmers through supervision and guidance to CIGs.,positive,True
12798,"A district development plan was developed, bringing related stakeholders together based on the baseline information in the project districts.",positive,True
12799,"The plan is more realistic than before, as it was planned based on recent statistics and with participatory demand driven planning implementation and monitoring.",positive,True
12800,DAIL and DRRD were found to be working together in the district as service providers.,positive,True
12801,"The strengthened coordination contributed to plan, initiate and implement some joint activities for the improved household food security and nutrition.",positive,True
12802,"The Secretariat has five core staff (national coordinator, M&E officer, technical staff, and administrator) and two vehicles.",positive,True
12803,"The SUN Movement in Sierra Leone is organized within five networks: Government, Civil Society Organizations, Business, Donors and UN System.",positive,True
12804,UNICEF is the focal point and FAO is the alternate focal point.,positive,True
12805,"According to the informants, the project has been instrumental in revitalizing the stalled UN-network activities and ensuring current functionality.",positive,True
12806,An example of the work of the SUN secretariat is the Position Paper on inclusion of RtF in the national constitution.,positive,True
12807,"Hence, the project was only one out of several stakeholders being involved in and supporting the establishment and consolidation of the Secretariat.",positive,True
12808,"MAFFS (through Women in Agriculture and Nutrition, WIAN) is for instance now planning to have nutritionists in all districts (there are 13 districts in the country).",positive,True
12809,"So far, one nutritionist has been employed in Western Area.",positive,True
12810,At district level there is also an increased understanding of the importance of food based approaches as interviews carried out during the evaluation witnessed about.,positive,True
12811,"The inclusion of a budget for nutrition in MAFFS in one of the visited districts, Kambia (however small) indicates an enhanced capacity for pro-actively using this understanding at a political level.",positive,True
12812,"At community level, the Mother-to-Mother Support groups and the school gardens illustrate increased capacity in terms of enhanced understanding and practical application of FNS, in particular dietary diversity.",positive,True
12813,"All the interviewed stakeholders emphasized the importance of the FBDG, including the Task Force, and considered the FBDG to be a very critical tool.",positive,True
12814,The FBDG has potential for having big national impact; i.e. improving the nutritional status of the population.,positive,True
12815,"Graduates, who later will be working as district or block extension workers or who will be working in e.g. MAFFS or NGOs, will have FNS and RTF capacity; at the same time the extension workers working at the ground (field extension workers) will also have capacity in these areas.",positive,True
12816,Both levels are necessary for successful FNS and RTF activities.,positive,True
12817,The MAFFS Extension Division is furthermore planning to place one nutritionist in each district.,positive,True
12818,"At the time of the mission, one nutritionist had been stationed in headquarter (employed in 2015) and one nutritionist had been stationed in the Western Area District Office (employed in March 2016).",positive,True
12819,The other districts have MAFFS nutrition focal persons.,positive,True
12820,"Seconding a nutritionist to WIAN section under the Extension Division in MAFFS has been instrumental in raising awareness of nutrition in the Ministry, but it has also contributed to strengthening the gender aspect of food and nutrition security.",positive,True
12821,"Hence training has been conducted of women farmer groups, training on food utilization, etc.",positive,True
12822,Mainstreaming nutrition into national agricultural policies implicitly has a gender aspect as women are being singled out as particularly vulnerable.,positive,True
12823,"With regard to the community level activities, the majority of the targeted farmers are women (e.g. in the Mother-to-Mother support groups).",positive,True
12824,"This included for instance the incorporation of FNS and RtF into government programmes, curriculum of university degrees; and extension service.",positive,True
12825,"Moreover, the work with the Pan African Parliamentarians, initiated by the project, is now being replicated in other African countries.",positive,True
12826,The handing over of the training to the GAFSP is commendable in light of the phasing out of the project.,positive,True
12827,The GAFSP phases out in December 2016.,positive,True
12828,"In 2015, the allocated budget was 134 mill.",positive,True
12829,Leone; in 2016 the allocated budget increased to 160 mill.,positive,True
12830,Leone.,positive,True
12831,"CA has benefits for climate change adaptation and disaster risk reduction, and there were observed and documented cases of increased production, soil moisture conservation during drought, reduction in soil erosion, increased soil fertility, reduction in labour and reduction of input costs.",positive,True
12832,The two projects have contributed to improve capacities of communities and key stakeholders to implement good practices to reduce the impacts of threats and crises.,positive,True
12833,"The IPC, an inclusive process, has continued to influence the narrative on the humanitarian consequences of the crisis.",positive,True
12834,"The FAO Representative played an influential and strategic leadership role within the wider international aid community, bolstered by high- level support from Rome.",positive,True
12835,"And FAOSS ensured that livelihood support was placed center- stage in the humanitarian response from the outset, through the ELRP launched early in 2014, and in the multi-sectoral Crisis Response Plan.",positive,True
12836,This provides the foundation for a wider APFS in the future.,positive,True
12837,Interviews with beneficiaries indicate FFS have positively impacted knowledge and agricultural practices.,positive,True
12838,"Ps have widely appreciated the technical training, enabling some to receive grants from other donors.",positive,True
12839,"Staff based in Juba have mainly participated, although more state-level training is being rolled out in 2016.",positive,True
12840,"The distribution of fishing kits has contributed to fishing becoming an important component of food security, through direct consumption and income generation.",positive,True
12841,The distribution of vegetables seeds and nutrition vouchers appears to have led to nutritional benefits.,positive,True
